受理号,药品名称,注册申请人,承办日期,申请日期,公示日期,状态,拟定适应症（或功能主治）
CYHS2101480,富马酸替诺福韦二吡呋酯颗粒,南京海纳医药科技股份有限公司,2021-08-03,2021-08-18,2021-12-23,已纳入,富马酸替诺福韦二吡呋酯颗粒是一种核苷酸类似物HIV-1逆转录酶抑制剂和HBV逆转录酶抑制剂，适用于：（1）2岁及以上体重至少10kg的儿童和成人患者，与其他抗逆转录药物联用治疗HIV-1感染；（2）2岁及以上体重至少10kg的儿童和成人患者治疗慢性乙型肝炎。
JXSS2101036,注射用polatuzumab vedotin,罗氏（中国）投资有限公司,2021-12-30,2021-12-10,2021-12-21,已纳入,治疗复发或难治性弥漫大B细胞淋巴瘤成人患者
JXSS2101037,注射用polatuzumab vedotin,罗氏（中国）投资有限公司,2021-12-30,2021-12-10,2021-12-21,已纳入,治疗复发或难治性弥漫大B细胞淋巴瘤成人患者
CXHS2101055,甲磺酸伏美替尼片,上海艾力斯医药科技股份有限公司,,2021-12-02,2021-12-08,已纳入,"具有表皮生长因子受体（EGFR）外显子19缺失突变（19DEL）或外显子21置换突变（21L858R）的局部晚期或转移性非小细胞肺癌（NSCLC）成人患者的一线治疗。
"
JXHS2101087,注射用曲拉西利,江苏先声药业有限公司,2021-12-01,2021-11-30,2021-12-08,已纳入,在接受含铂类药物联合依托泊苷方案的广泛期小细胞肺癌（ES-SCLC）患者中预防性使用曲拉西利（Trilaciclib），以降低化疗引起的骨髓抑制的发生率。
JXHS2101065,药用炭混悬颗粒,海南泽世药业有限公司,2021-11-03,2021-11-01,2021-11-29,已纳入,解毒药。用于经口服急性中毒或药物过量。
CXSS2101059,重组人生长激素注射液,长春金赛药业有限责任公司,,2021-11-10,2021-11-17,已纳入,用于因内源性生长激素缺乏所引起的儿童生长缓慢。用于因Noonan综合征所引起的儿童身材矮小。用于因SHOX基因缺陷所引起的儿童身材矮小或生长障碍。用于因软骨发育不全所引起的儿童身材矮小。用于性腺发育不全（特纳综合征）所致女孩的生长障碍。用于因小于胎龄儿（SGA）所引起的儿童身材矮小（2岁时未实现追赶生长）。用于Prader-Willi综合征（PWS）。用于治疗特发性矮小（ISS）。用于接受营养支持的成人短肠综合征。用于已明确的下丘脑-垂体疾病所致的生长激素缺乏症和经两种不同的生长激素刺激试验确诊的生长激素显著缺乏。用于重度烧伤治疗。
CXSS2101060,重组人生长激素注射液,长春金赛药业有限责任公司,,2021-11-10,2021-11-17,已纳入,用于因内源性生长激素缺乏所引起的儿童生长缓慢。用于因Noonan综合征所引起的儿童身材矮小。用于因SHOX基因缺陷所引起的儿童身材矮小或生长障碍。用于因软骨发育不全所引起的儿童身材矮小。用于性腺发育不全（特纳综合征）所致女孩的生长障碍。用于因小于胎龄儿（SGA）所引起的儿童身材矮小（2岁时未实现追赶生长）。用于Prader-Willi综合征（PWS）。用于治疗特发性矮小（ISS）。用于接受营养支持的成人短肠综合征。用于已明确的下丘脑-垂体疾病所致的生长激素缺乏症和经两种不同的生长激素刺激试验确诊的生长激素显著缺乏。用于重度烧伤治疗。
CXSS2101061,重组人生长激素注射液,长春金赛药业有限责任公司,,2021-11-10,2021-11-17,已纳入,用于因内源性生长激素缺乏所引起的儿童生长缓慢。用于因Noonan综合征所引起的儿童身材矮小。用于因SHOX基因缺陷所引起的儿童身材矮小或生长障碍。用于因软骨发育不全所引起的儿童身材矮小。用于性腺发育不全（特纳综合征）所致女孩的生长障碍。用于因小于胎龄儿（SGA）所引起的儿童身材矮小（2岁时未实现追赶生长）。用于Prader-Willi综合征（PWS）。用于治疗特发性矮小（ISS）。用于接受营养支持的成人短肠综合征。用于已明确的下丘脑-垂体疾病所致的生长激素缺乏症和经两种不同的生长激素刺激试验确诊的生长激素显著缺乏。用于重度烧伤治疗。
CXSS2101062,重组人生长激素注射液,长春金赛药业有限责任公司,,2021-11-10,2021-11-17,已纳入,用于因内源性生长激素缺乏所引起的儿童生长缓慢。用于因Noonan综合征所引起的儿童身材矮小。用于因SHOX基因缺陷所引起的儿童身材矮小或生长障碍。用于因软骨发育不全所引起的儿童身材矮小。用于性腺发育不全（特纳综合征）所致女孩的生长障碍。用于因小于胎龄儿（SGA）所引起的儿童身材矮小（2岁时未实现追赶生长）。用于Prader-Willi综合征（PWS）。用于治疗特发性矮小（ISS）。用于接受营养支持的成人短肠综合征。用于已明确的下丘脑-垂体疾病所致的生长激素缺乏症和经两种不同的生长激素刺激试验确诊的生长激素显著缺乏。用于重度烧伤治疗。
CYHS2102312,醋酸氟氢可的松片,江苏福锌雨医药科技有限公司,,2021-11-05,2021-11-17,已纳入,失盐型先天性肾上腺皮质增生症（CAH），失盐型原发慢性肾上腺皮质功能减退症（Addison病）。
CXSS2101036,重组人生长激素注射液,长春金赛药业有限责任公司,2021-10-19,2021-10-22,2021-11-08,已纳入,用于因内源性生长激素缺乏所引起的儿童生长缓慢。 用于因Noonan综合征所引起的儿童身材矮小。 用于因SHOX基因缺陷所引起的儿童身材矮小或生长障碍。 用于因软骨发育不全所引起的儿童身材矮小。 用于性腺发育不全（特纳综合征）所致女孩的生长障碍。 用于Prader-Willi综合征（PWS）。 用于接受营养支持的成人短肠综合征。 用于已明确的下丘脑-垂体疾病所致的生长激素缺乏症和经两种不同的生长激素刺激试验确诊的生长激素显著缺乏。 用于重度烧伤治疗。
CXSS2101037,重组人生长激素注射液,长春金赛药业有限责任公司,2021-10-19,2021-10-22,2021-11-08,已纳入,用于因内源性生长激素缺乏所引起的儿童生长缓慢。 用于因Noonan综合征所引起的儿童身材矮小。 用于因SHOX基因缺陷所引起的儿童身材矮小或生长障碍。 用于因软骨发育不全所引起的儿童身材矮小。 用于性腺发育不全（特纳综合征）所致女孩的生长障碍。 用于Prader-Willi综合征（PWS）。 用于接受营养支持的成人短肠综合征。 用于已明确的下丘脑-垂体疾病所致的生长激素缺乏症和经两种不同的生长激素刺激试验确诊的生长激素显著缺乏。 用于重度烧伤治疗。
CXSS2101038,重组人生长激素注射液,长春金赛药业有限责任公司,2021-10-19,2021-10-22,2021-11-08,已纳入,用于因内源性生长激素缺乏所引起的儿童生长缓慢。 用于因Noonan综合征所引起的儿童身材矮小。 用于因SHOX基因缺陷所引起的儿童身材矮小或生长障碍。 用于因软骨发育不全所引起的儿童身材矮小。 用于性腺发育不全（特纳综合征）所致女孩的生长障碍。 用于Prader-Willi综合征（PWS）。 用于接受营养支持的成人短肠综合征。 用于已明确的下丘脑-垂体疾病所致的生长激素缺乏症和经两种不同的生长激素刺激试验确诊的生长激素显著缺乏。 用于重度烧伤治疗。
无,尼替西农片,杰谛医药科技（上海）有限公司,,2021-10-27,2021-11-08,已纳入,遗传性酪氨酸血症I型（HT-1）
JXHS2101064,Entrectinib胶囊,罗氏（中国）投资有限公司,2021-10-29,2021-10-28,2021-11-05,已纳入,NTRK融合阳性局部晚期或转移性实体瘤
JXHS2101096,爱塔乐伦颗粒口服干混悬剂,杰谛医药科技（上海）有限公司,,2021-10-18,2021-11-01,已纳入,适用于治疗2岁及以上非卧床患者因肌营养不良蛋白基因无义突变而引起的杜氏肌营养不良症。
JXHS2101063,Entrectinib胶囊,罗氏（中国）投资有限公司,2021-10-29,2021-10-20,2021-10-28,已纳入,NTRK融合阳性局部晚期或转移性实体瘤
CXHS2101050,SHR3680片,江苏恒瑞医药股份有限公司,2021-11-01,2021-10-15,2021-10-28,已纳入,本品适用于治疗高瘤负荷的转移性激素敏感性前列腺癌（mHSPC）患者。
CXSS2101041,普特利单抗注射液,乐普生物科技股份有限公司,2021-10-26,2021-10-11,2021-10-28,已纳入,适用于既往接受一线及以上系统治疗失败的高度微卫星不稳定型（MSI-H）或错配修复缺陷型（dMMR） 的晚期实体瘤患者的治疗。
CYHS2101811,环磷酰胺胶囊,江苏恒瑞医药股份有限公司,2021-10-08,2021-09-08,2021-10-12,已纳入,"环磷酰胺胶囊适用于治疗：
恶性淋巴瘤(Ann Arbor分期III期和IV期)，霍奇金淋巴瘤，淋巴细胞性淋巴瘤(结节性或弥漫性)，混合细胞型淋巴瘤，组织细胞性淋巴瘤，伯基特淋巴瘤
多发性骨髓瘤
白血病：慢性淋巴细胞性白血病，慢性粒细胞性白血病(急性原始细胞危象通常无效)，急性髓性和单核细胞性白血病，急性淋巴细胞性(干细胞)白血病(缓解期间给予环磷酰胺可有效延长缓解期)
蕈样真菌病(晚期)
成神经细胞瘤(弥散性疾病)
卵巢腺癌
视网膜母细胞瘤
乳腺癌"
CXSS2101039,重组人生长激素注射液,长春金赛药业有限责任公司,2021-10-19,2021-09-26,2021-10-12,已纳入,"用于因内源性生长激素缺乏所引起的儿童生长缓慢。
用于因Noonan综合征所引起的儿童身材矮小。 
用于因SHOX基因缺陷所引起的儿童身材矮小或生长障碍。 
用于因软骨发育不全所引起的儿童身材矮小。 
用于性腺发育不全（特纳综合征）所致女孩的生长障碍。 
用于Prader-Willi综合征（PWS）。 
用于接受营养支持的成人短肠综合征。 
用于已明确的下丘脑-垂体疾病所致的生长激素缺乏症和经两种不同的生长激素刺激试验确诊的生长激素显著缺乏。 
用于重度烧伤治疗。"
CXSS2101032,凯得宁单抗注射液,康方药业有限公司,2021-09-26,2021-09-08,2021-09-26,已纳入,本品适用于既往接受过含铂化疗治疗失败的复发或转移性宫颈癌患者的治疗。
CXHS2101040,马来酸吡咯替尼片,江苏恒瑞医药股份有限公司,2021-09-15,2021-09-07,2021-09-24,已纳入,本品联合曲妥珠单抗及多西他赛，适用于治疗表皮生长因子受体2（HER2）阳性早期或局部晚期乳腺癌患者的新辅助治疗
CXHS2101041,马来酸吡咯替尼片,江苏恒瑞医药股份有限公司,2021-09-15,2021-09-07,2021-09-24,已纳入,本品联合曲妥珠单抗及多西他赛，适用于治疗表皮生长因子受体2（HER2）阳性早期或局部晚期乳腺癌患者的新辅助治疗
JXHS2101043,曲美替尼片,北京诺华制药有限公司,2021-09-06,2021-08-13,2021-08-26,已纳入,本品联合甲磺酸达拉非尼适用于治疗BRAF V600突变阳性的晚期非小细胞肺癌患者。
JXHS2101044,曲美替尼片,北京诺华制药有限公司,2021-09-06,2021-08-13,2021-08-26,已纳入,本品联合甲磺酸达拉非尼适用于治疗BRAF V600突变阳性的晚期非小细胞肺癌患者。
JXHS2101045,甲磺酸达拉非尼胶囊,北京诺华制药有限公司,2021-09-06,2021-08-13,2021-08-26,已纳入,本品联合曲美替尼适用于治疗BRAF V600突变阳性的晚期非小细胞肺癌患者。
JXHS2101046,甲磺酸达拉非尼胶囊,北京诺华制药有限公司,2021-09-06,2021-08-13,2021-08-26,已纳入,本品联合曲美替尼适用于治疗BRAF V600突变阳性的晚期非小细胞肺癌患者。
JXHS2101068,Selpercatinib胶囊,礼来苏州制药有限公司,2021-11-09,2021-08-16,2021-08-26,已纳入,"本品用于RET突变的需要系统性治疗的晚期或转移性甲状腺髓样癌（MTC）成人和12岁及以上儿童患者的治疗。
本品用于RET基因融合阳性的需要系统性治疗和放射性碘治疗（如适用）难治的晚期或转移性甲状腺癌成人和12岁及以上儿童患者的治疗。
"
JXHS2101069,Selpercatinib胶囊,礼来苏州制药有限公司,2021-11-09,2021-08-16,2021-08-26,已纳入,"本品用于RET突变的需要系统性治疗的晚期或转移性甲状腺髓样癌（MTC）成人和12岁及以上儿童患者的治疗。
本品用于RET基因融合阳性的需要系统性治疗和放射性碘治疗（如适用）难治的晚期或转移性甲状腺癌成人和12岁及以上儿童患者的治疗。
"
JXHS2101070,Selpercatinib胶囊,礼来苏州制药有限公司,2021-11-09,2021-08-16,2021-08-26,已纳入,本品用于转染重排（RET）基因融合阳性的局部晚期或转移性非小细胞肺癌（NSCLC）患者的治疗。
JXHS2101071,Selpercatinib胶囊,礼来苏州制药有限公司,2021-11-09,2021-08-16,2021-08-26,已纳入,本品用于转染重排（RET）基因融合阳性的局部晚期或转移性非小细胞肺癌（NSCLC）患者的治疗。
CXSS2101011,注射用维迪西妥单抗,荣昌生物制药（烟台）股份有限公司,2021-07-14,2021-07-13,2021-08-26,已纳入,本品适用于既往接受过系统化疗且HER2表达为免疫组化检查结果为2+或3+的局部晚期或转移性尿路上皮癌的患者。
JXSS2101016,那昔妥单抗注射液,赛生医药（中国）有限公司,2021-07-14,2021-08-03,2021-08-26,已纳入,本品与粒细胞-巨噬细胞集落刺激因子（GM-CSF）联合给药，适用于伴有骨或骨髓病变，对既往治疗表现为部分缓解、轻微缓解或疾病稳定的1岁及以上儿童或成年复发性或难治性高危神经母细胞瘤患者。
JXHS2101040,维托拉生注射液,杭州泰格医药科技股份有限公司,2021-08-10,2021-06-25,2021-08-09,已纳入,肌营养蛋白的基因缺失经验明可通过53号外显子跳跃治疗的杜氏肌营养不良。
JXHS2101039,艾伏尼布片,基石药业（苏州）有限公司,2021-08-03,2021-07-15,2021-07-26,已纳入,用于治疗携带易感IDH1突变的成人复发性或难治性急性髓系白血病
CXHS2101028,盐酸恩沙替尼胶囊,贝达药业股份有限公司,2021-07-13,2021-07-05,2021-07-23,已纳入,适用于间变性淋巴瘤激酶（ALK）阳性的局部晚期或转移性非小细胞肺癌（NSCLC）患者的治疗。
CXHS2101029,盐酸恩沙替尼胶囊,贝达药业股份有限公司,2021-07-13,2021-07-05,2021-07-23,已纳入,适用于间变性淋巴瘤激酶（ALK）阳性的局部晚期或转移性非小细胞肺癌（NSCLC）患者的治疗。
JXHS2101027,Pemigatinib片,信达生物制药（苏州）有限公司,2021-07-12,2021-07-12,2021-07-23,已纳入,用于既往至少接受过一种系统性治疗，且经检测确认存在有FGFR2融合或重排的晚期、转移性或不可手术切除的胆管癌成人患者的治疗。
JXHS2101028,Pemigatinib片,信达生物制药（苏州）有限公司,2021-07-12,2021-07-12,2021-07-23,已纳入,用于既往至少接受过一种系统性治疗，且经检测确认存在有FGFR2融合或重排的晚期、转移性或不可手术切除的胆管癌成人患者的治疗。
CXSS2101004,替雷利珠单抗注射液,百济神州（上海）生物科技有限公司,2021-06-04,2021-05-28,2021-07-19,已纳入,适用于既往经治的局部晚期不可切除或转移性高度微卫星不稳定型（MSI-H）或错配修复缺陷型（dMMR）实体瘤
JXSS2101015,莫格利珠单抗注射液,协和麒麟（中国）制药有限公司,2021-07-02,2021-07-06,2021-07-19,已纳入,本品适用于既往接受过至少一次全身性治疗的蕈样肉芽肿（MF）或 Sézary综合征（SS）成人患者的治疗。 
CXSS2101001,四价流感病毒裂解疫苗,华兰生物疫苗股份有限公司,2021-05-17,2021-02-24,2021-07-13,已纳入,接种本疫苗后，可刺激机体产生抗流感病毒的免疫力，拟用于6个月至3岁以下人群预防相关型别的流感病毒引起的流行性感冒。
JXHS2101026,Pemigatinib片,信达生物制药（苏州）有限公司,2021-07-12,2021-06-16,2021-07-12,已纳入,用于既往至少接受过一种系统性治疗，且经检测确认存在有FGFR2融合或重排的晚期、转移性或不可手术切除的胆管癌成人患者的治疗。
JXHS2101031,Lorlatinib片,辉瑞投资有限公司,2021-07-14,2021-06-07,2021-07-12,已纳入,本品用于治疗既往接受过一种或多种间变性淋巴瘤激酶（ALK）酪氨酸激酶抑制剂（TKI）治疗的ALK阳性局部晚期或转移性非小细胞肺癌 (NSCLC) 患者。
